TESTE_Desc,IDFICA,Subconjunto,Curso,Numero,Nome,EstadoMatricula,MOTIVO_ANULACAO,DATA_ANULACAO
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,16,24,A24,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,21,8,A8,ANULADO,DESISTÊNCIA DE ESTUDO,30/01/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,41,68,A68,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,6,98,A98,ANULADO,DESISTÊNCIA DE ESTUDO,15/02/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,53,123,A123,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,32,136,A136,ANULADO,DESISTÊNCIA DE ESTUDO,14/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,52,141,A141,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,25,142,A142,ANULADO,MOTIVOS DE SAÚDE,24/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,22,163,A163,ANULADO,MUDANÇA DE CURSO POR CESSAÇÃO DE CICLO DE ESTUDOS E ACREDITAÇÃO DE NOVO CICLO,15/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,40,190,A190,ANULADO,POR MOTIVOS PROFISSIONAIS,07/12/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,1,191,A191,ANULADO,(DENTRO DA UA) - COLOCAÇÃO NA 2ª OU 3ª FASE DE CANDIDATURA,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,11,197,A197,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b2,15,198,A198,ANULADO,(DENTRO DA UA) - COLOCAÇÃO NA 2ª OU 3ª FASE DE CANDIDATURA,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,51,218,A218,ANULADO,DESISTÊNCIA DE ESTUDO,06/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,58,280,A280,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,26,282,A282,ANULADO,MUDANÇA DE UNIVERSIDADE,27/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,28,325,A325,ANULADO,DESISTÊNCIA DE ESTUDO,26/02/2018
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b1,55,441,A441,ANULADO,DESISTÊNCIA DE ESTUDO,17/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,16,450,A450,ANULADO,DESISTÊNCIA DE ESTUDO,16/11/2017
ANULADOS - LAN01 - Lista de alunos anulados com respetivo motivo,50,b3,29,480,A480,ANULADO,DESISTÊNCIA DE ESTUDO,04/01/2018
