Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,90050_AvalParcial,90050_TaxaAssid,90073_AvalParcial,90073_TaxaAssid,90114_AvalParcial,90114_TaxaAssid,90123_AvalParcial,90123_TaxaAssid,90162_AvalParcial,90162_TaxaAssid,90172_AvalParcial,90172_TaxaAssid,90240_AvalParcial,90240_TaxaAssid,90243_AvalParcial,90243_TaxaAssid,90244_AvalParcial,90244_TaxaAssid,90245_AvalParcial,90245_TaxaAssid,99245_AvalParcial,99245_TaxaAssid
b3,25,A25,F,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2016,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,2,27,,10,0,12,0,0,13.35,10,0,,,,,,,,,,30,2,,,,100,,,,,,,,,,,,,,15.38,,,,
b3,36,A36,M,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Ordinário,2,15,,6,0,,0,0,12.5,30,151.92,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,100
b3,45,A45,M,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Ordinário,1,8,,8,0,12,0,0,15,30,81.04,,,,,,,,,,10,1,,,,,,,,,,,,,,100,,,,,,,,
b3,50,A50,M,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2015,ACTIVO,Mudança de Curso,Trabalhador Estudante,2,12,,6,0,6,0,0,11.27,10,0,,,,,,,,,,20,2,,-1,,,,0,,,,,,,,,,,,,,,,
b3,70,A70,M,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Trabalhador Estudante,2,15,,12,0,,0,0,11.19,30,44.31,,,,,,,,,,20,2,,,,,,0,,,,,,-1,,,,,,,,,,
b3,127,A127,M,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,Cand. Especiais - Titulares de CETs,Trabalhador Estudante,1,4,,0,0,4,0,0,0,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
b3,156,A156,F,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2013,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,2,4,,0,0,4,0,0,16.6,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
b3,160,A160,M,,PORTUGAL,Não,Sim,Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2014,ACTIVO,Cand. Especiais - Titulares de CETs,Ordinário,2,30,,14,0,30,0,0,14,10,0,,,,,,,,,,30,2,,,,100,,,,74.19,,,,,,,,,,,,,,
b3,168,A168,M,,PORTUGAL,Não,Não,Em risco de prescrição (Ano seguinte),Licenciatura - 1º Ciclo,72,C72,FALSO,2015,ACTIVO,Regime Geral,Ordinário,2,48,,20,0,26,10,38.4615,12.15,10,0,,,,,,,127.7,1,1,30,3,,,,,,,,,,44.44,,10,,,,,,,,,,100
b3,187,A187,M,,PORTUGAL,Não,Não,Em risco de prescrição (Ano atual),Licenciatura - 1º Ciclo,72,C72,FALSO,2015,ACTIVO,Cand. Especiais - Titulares de CETs,Ordinário,2,50,,26,0,40,14,35,11.29,10,0,,,,,,,,,,30,4,,,,100,,,,70.97,,88.89,,90,,,,,,,,,,
b1,242,A242,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de CETs,Ordinário,1,52,,22,0,,0,0,0,10,0,,,,,,,,,,10,3,,,,100,,,,100,,,,,,100,,,,,,,,
b1,244,A244,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de TeSP,Trabalhador Estudante,1,60,,30,0,,0,0,0,10,0,,,,,,,,,,20,5,,,,100,,,,93.55,,,,,,76.92,,-2,,15.38,,,,
b1,248,A248,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de CETs,Ordinário,1,52,,22,0,,0,0,0,10,0,10,25/09/2017,Deferida,08/01/2018,3184,,,,,10,3,,,,100,,,,100,,,,,,100,,,,,,,,
b3,337,A337,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2015,ACTIVO,Maiores de 23,Trabalhador Estudante,2,36,,18,0,,0,0,11.46,10,0,,,,,,,,,,10,4,,91.67,,,,92.31,,,,100,,85,,,,,,,,,,
b1,367,A367,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de TeSP,Ordinário,1,48,,22,0,,0,0,0,10,0,10,26/09/2017,Deferida,27/10/2017,1064,,,,,10,3,,,,100,,,,100,,,,,,100,,,,,,,,
b3,492,A492,M,,PORTUGAL,Não,Sim,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2016,ACTIVO,Regime Geral,Ordinário,1,8,,8,0,60,2,3.3333,0,10,0,,,,,,,150.7,1,1,10,1,,,,,,,,,,,,,,100,,,,,,,,
b3,665,A665,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2016,ACTIVO,Regime Geral,Ordinário,2,56,,26,0,60,14,23.3333,10.5,10,0,,,,,,,118.6,2,2,30,4,,,,100,,,,,,66.67,,85,,53.85,,,,,,,,
b3,695,A695,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,FALSO,2016,ACTIVO,Regime Geral,Ordinário,1,54,,28,0,60,6,10,10,10,0,,,,,,,114.5,2,3,20,4,,,,100,,,,90.32,,,,,,92.31,,-2,,,,,,
b1,1176,A1176,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,30,607.68,10,27/07/2017,Deferida,,,10,133.6,1,6,20,5,,,,100,,,,83.87,,,,,,100,,-2,,84.62,,,,
b1,1195,A1195,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,,,,,,30,115,1,2,20,5,,,,100,,,,100,,,,,,100,,-2,,100,,,,
b1,1296,A1296,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,72,C72,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,,30,0,,0,0,0,10,0,10,19/09/2017,Deferida,09/10/2017,1100,10,124.1,1,1,20,5,,,,100,,,,100,,,,,,100,,-2,,100,,,,
