Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40308_AvalParcial,40308_TaxaAssid,40335_AvalParcial,40335_TaxaAssid,42782_AvalParcial,42782_TaxaAssid,43501_AvalParcial,43501_TaxaAssid,44243_AvalParcial,44243_TaxaAssid,47035_AvalParcial,47035_TaxaAssid,47176_AvalParcial,47176_TaxaAssid,47215_AvalParcial,47215_TaxaAssid
b1,14,A14,F,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Mudança de Curso,Ordinário,1,42,30,24,0,,0,0,13.25,10,0,,,,,,,,,,30,3,,93.75,,100,,,,,,,,76.92,,,,
b1,24,A24,F,,PORTUGAL,Não,Não,,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ANULADO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,0,,0,0,,0,0,0,10,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,
b1,138,A138,M,,PORTUGAL,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Mudança de Curso,Ordinário,1,54,10,24,18,,0,0,11,10,0,,,,,,,,,,30,5,,100,,55.56,,100,,100,,,,100,,,,
b3,256,A256,F,,PORTUGAL,Não,Não,Em risco de prescrição (Ano atual),Licenciatura - 1º Ciclo,16,C16,FALSO,2015,SUSPENSO (OUTRO),Regime Geral,Ordinário,2,60,30,30,6,42,12,28.5714,10.29,30,911.52,,,,,,,140.4,1,1,30,4,,100,,100,,62.5,,100,,,,,,,,
b3,450,A450,M,,BRASIL,Não,Sim,,Licenciatura - 1º Ciclo,16,C16,FALSO,2016,ANULADO,Estudante Internacional,Ordinário,1,0,,0,0,60,24,40,11.5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
b3,520,A520,M,,PORTUGAL,Não,Não,,Licenciatura - 1º Ciclo,16,C16,FALSO,2016,ANULADO,Regime Geral,Ordinário,1,0,,0,0,60,24,40,12,10,0,30,27/09/2017,Indeferida,04/12/2017,,,139.8,1,1,,0,,,,,,,,,,,,,,,,
b3,686,A686,F,,TIMOR LESTE,Não,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,FALSO,2016,ACTIVO,Naturais e filhos de naturais de Timor-Leste,Ordinário,2,60,30,30,12,60,24,40,10.83,10,0,,,,,,,,,,10,4,,100,,100,,100,,100,,,,,,,,
b1,766,A766,M,,BRASIL,Sim,Não,,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,60,30,30,12,,0,0,11,30,141.8,,,,,,,,,,10,5,,100,,94.44,,100,,100,,,,92.31,,,,
b1,795,A795,F,,BRASIL,Sim,Não,,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,66,10,30,24,,0,0,11.75,10,0,,,,,,,,,,10,6,,100,,100,,85.71,,100,,88.89,,100,,,,
b1,1087,A1087,M,,PORTUGAL,Sim,Não,Não Prescrito,Licenciatura - 1º Ciclo,16,C16,VERDADEIRO,2017,ACTIVO,Maiores de 23,Ordinário,1,60,10,30,24,,0,0,15.75,30,567.16,10,23/09/2017,Deferida,27/10/2017,1064,,,,,10,5,,100,,94.44,,100,,100,,,,100,,,,
