Subconjunto,Numero,Nome,Sexo,Email,PaisNacionalidade,ProgramaTutoria,TempoParcial,SituacaoPrescricao,Habilitacao,Curso,CursoNome,PrimeiraVezCurso,AnoLetivoMatricula,EstadoMatricula,TipoAcesso,Regime,AnoCurricular,ECTS_InscritosAnoAtual,IND2_1,ECTS_InscritoAnoAtualSemestre1,ECTS_FeitosAnoAtual,ECTS_Inscritos1AnoNoAnoAnterior,ECTS_Feitos1AnoNoAnoAnterior,Sucesso1anoNoAnoAnterior,media,IND2_2,Propina_TotalEmDivida,IND2_3,BolsaSAS_DataCandidatura,BolsaSAS_EstadoBolsa,BolsaSAS_DataDespacho,BolsaSAS_ValorBolsa,IND2_4,IngressoRG_nota,IngressoRG_fase,IngressoRG_pref,IND2_5,NumUCinscritas,40436_AvalParcial,40436_TaxaAssid,40909_AvalParcial,40909_TaxaAssid,41201_AvalParcial,41201_TaxaAssid,41703_AvalParcial,41703_TaxaAssid,42729_AvalParcial,42729_TaxaAssid
b1,3,A3,M,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Trabalhador Estudante,1,18,30,6,0,,0,0,11.24,10,0,,,,,,,,,,30,2,,,,52,,100,,,,
b1,11,A11,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,FALSO,2017,ACTIVO,Reingresso,Ordinário,1,30,30,30,0,,0,0,10.9,30,147.72,,,,,,,,,,,0,,,,,,,,,,
b1,93,A93,M,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Trabalhador Estudante,1,30,30,12,0,,0,0,12,10,0,,,,,,,,,,20,3,,35,,11.11,,,,,,-1
b1,451,A451,F,,BRASIL,Não,Não,,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,60,30,30,0,,0,0,0,30,4400,,,,,,,,,,30,4,,66.67,,57.69,,100,,64.29,,
b1,497,A497,F,,PORTUGAL,Não,Sim,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Trabalhador Estudante,1,30,30,12,12,,0,0,11.29,10,0,,,,,,,,,,30,3,,68.42,,61.54,,,,,,25.93
b1,725,A725,M,,CABO VERDE,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,mudança de curso por cessação de ciclo de estudos e acreditação de novo ciclo,Ordinário,1,60,30,30,6,,0,0,10,10,0,,,,,,,,,,30,5,,80.95,,69.23,,100,,57.14,,18.52
b1,736,A736,M,,ANGOLA,Não,Não,,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,60,30,30,0,,0,0,0,30,2442.66,,,,,,,,,,30,5,,66.67,,57.69,,100,,64.29,,37.04
b1,780,A780,M,,BRASIL,Não,Sim,,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Estudante Internacional,Ordinário,1,30,10,6,18,,0,0,0,10,0,,,,,,,,,,30,4,,100,,96.15,,100,,71.43,,
b1,1086,A1086,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Cand. Especiais - Titulares de Curso Médios e Superiores,Trabalhador Estudante,1,60,10,30,60,,0,0,12,10,0,30,22/09/2017,Indeferida,06/11/2017,,,,,,10,5,,100,,100,,100,,100,,92.59
b1,1855,A1855,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,14,10,0,,,,,,10,164.4,1,4,30,5,,100,,80.77,,100,,78.57,,77.78
b1,2293,A2293,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,13.25,10,0,30,15/09/2017,Indeferida,20/11/2017,,10,154,1,1,10,5,,95.24,,100,,100,,92.86,,81.48
b1,2297,A2297,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,14.6,10,0,,,,,,10,168.2,1,2,10,5,,100,,96.15,,100,,85.71,,85.19
b1,2305,A2305,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,14.2,10,0,,,,,,10,170.4,1,1,10,5,,100,,96.15,,100,,100,,88.89
b1,2309,A2309,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,14.2,10,0,,,,,,10,173,1,2,10,5,,100,,100,,100,,85.71,,100
b1,2314,A2314,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,12.8,10,0,,,,,,10,176,1,1,30,5,,95.24,,100,,100,,78.57,,96.3
b1,2315,A2315,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,14.4,10,0,,,,,,10,169.6,1,2,10,5,,100,,88.46,,100,,85.71,,88.89
b1,2320,A2320,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,13,10,0,10,24/07/2017,Deferida,13/10/2017,1064,10,166.6,1,4,10,5,,100,,88.46,,100,,92.86,,85.19
b1,2324,A2324,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,64,10,34,58,,0,0,13.25,10,0,,,,,,10,164.6,1,1,10,5,,89.47,,92.31,,100,,100,,88.89
b1,2328,A2328,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,13.2,10,0,,,,,,10,177,1,1,10,5,,95.24,,100,,100,,92.86,,96.3
b1,2329,A2329,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,13.2,10,0,30,11/08/2017,Indeferida,05/02/2018,,10,163.4,1,5,10,5,,100,,100,,100,,92.86,,96.3
b1,2330,A2330,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,12,10,0,,,,,,10,173.2,1,1,10,5,,100,,100,,100,,100,,100
b1,2332,A2332,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,13.8,10,0,10,15/08/2017,Deferida,11/12/2017,3416,10,168.2,1,2,10,5,,100,,92.31,,100,,85.71,,96.3
b1,2338,A2338,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,48,,0,0,13.5,10,0,,,,,,10,170.6,1,2,10,5,,95,,92.31,,100,,92.86,,88.89
b1,2339,A2339,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,30,30,24,,0,0,12,10,0,,,,,,10,175.4,1,5,30,5,,85,,84.62,,100,,64.29,,74.07
b1,2346,A2346,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,14.8,10,0,10,17/09/2017,Deferida,12/02/2018,3271,10,171.6,1,5,30,5,,95.24,,92.31,,100,,78.57,,77.78
b1,2362,A2362,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,36,,0,0,11,10,0,30,14/09/2017,Indeferida,08/04/2018,,10,169,1,2,10,5,,100,,96.15,,100,,100,,92.59
b1,2363,A2363,M,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,16,10,0,,,,,,10,167.2,1,4,10,5,,100,,96.15,,100,,85.71,,88.89
b1,2364,A2364,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,16.6,10,0,10,18/08/2017,Deferida,04/12/2017,1064,10,177.6,1,1,10,5,,100,,92.31,,100,,100,,92.59
b1,2365,A2365,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,12.6,10,0,,,,,,10,176.4,1,1,10,5,,100,,96.15,,100,,92.86,,92.59
b1,2369,A2369,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,14.2,10,0,10,07/09/2017,Deferida,13/10/2017,1204,10,169.4,1,2,10,5,,100,,92.31,,100,,85.71,,88.89
b1,2377,A2377,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,54,,0,0,12.25,10,0,30,06/09/2017,Indeferida,06/11/2017,,10,139.8,1,1,10,5,,100,,100,,100,,85.71,,96.3
b1,2378,A2378,F,,PORTUGAL,Não,Não,Não Prescrito,Mestrado Integrado,68,C68,VERDADEIRO,2017,ACTIVO,Regime Geral,Ordinário,1,60,10,30,60,,0,0,15.2,10,0,,,,,,10,170.4,1,3,10,5,,100,,96.15,,100,,100,,96.3
